,log2FoldChange,lfcSE
RP11-689B22.2,0.0314468007192521,0.38119549820422904
NTSR1,0.0305556910128645,0.382180060294899
ASXL3,0.0310782045705877,0.38402608612337397
AC073934.6,0.0375824875489127,0.41663646585603104
CTD-2017C7.1,0.0357604506663543,0.406017997161545
CTD-2589M5.4,0.0128294373644597,0.262396123551428
TCF21,0.0398598243597684,0.420984314654325
MUC22,0.0127632320504778,0.26239808656228897
KRTAP1-1,0.015600193410353002,0.286416743104438
RP11-231E6.1,0.0256248600811196,0.357905991147062
FBXW10,0.0305564763757918,0.3821840522915789
WIF1,2.29118726114221,0.172965632781834
HEPN1,0.0333824259178577,0.394551417884305
CNOT10-AS1,0.0127632320504778,0.26239808656228897
RP11-243M5.1,0.0132514700238609,0.266884952781942
DNAH12,0.0412092985445791,0.426502152009461
AGR3,0.21700862149496106,0.413859101957154
RP11-638I2.9,0.0127087128800387,0.262396298783779
AC024592.9,0.0281487771870727,0.368868554782849
CTD-2330K9.3,0.0127963341128529,0.262397104139594
RP11-556O5.6,0.0127963352024761,0.262397113267318
RP11-63B13.1,0.0132516417241515,0.266886551882874
BHMG1,0.012796334339890001,0.262397106057395
LINC01485,0.0133425129070022,0.266887168427478
CTD-2529P6.3,0.0127963341128529,0.262397104139594
RP11-384P7.5,0.0127632320504778,0.26239808656228897
RP11-680F20.10,0.0127963340853137,0.262397103907108
LINC00543,0.0248591867414737,0.354514233916106
VSTM5,0.0437924118115531,0.435625577914694
RP11-554D14.8,0.0127963352024761,0.262397113267318
AC002480.2,0.0313386172504401,0.38493100859905394
LRRIQ1,0.11131047960797802,0.5243346119735189
RP13-16H11.5,0.0154938784404607,0.28641321843303097
KCNJ6,0.0204444681637464,0.322629372287598
RP11-350N15.6,0.130451153425824,0.514438404772386
AC006372.5,0.0127963340853137,0.262397103907108
SLC14A2,0.115741590947916,0.523232691276413
RP11-281O15.4,0.0255482071502848,0.354528510950231
RP11-1017G21.4,0.0303495276950962,0.38217742909097296
DNAJC5G,0.0127418151224613,0.262395318298765
ANKRD45,0.0648175156931058,0.491854848147531
CTC-420A11.2,0.012796334339890001,0.262397106057395
RP11-182J1.13,0.0154937114508918,0.28641181322031395
TTBK1,0.022510427901744,0.33912529880718895
RP1-29C18.9,0.0153879657696832,0.286413072528161
KCNH6,0.0127963341128529,0.262397104139594
RP11-579D7.4,0.0329358083215511,0.39454475448880205
RP11-425D17.1,0.0127963340853137,0.262397103907108
AC005550.3,0.0538863865453305,0.46568027951214797
RP1-18D14.7,0.106704774434487,0.524771482115976
SVOP,0.0488898419600165,0.45184684513615897
IYD,0.0485677754394061,0.45184402783955896
TMEM247,0.0258121092642439,0.355693173462798
RP11-147L13.8,0.0610160267035185,0.48282663838091605
ISLR2,0.153563307187106,0.495900525238954
LRRC74A,0.0127632320504778,0.26239808656228897
CTD-3064M3.4,0.0383525031803358,0.41664271397186203
RP11-72L22.1,0.0127632320504778,0.26239808656228897
RP5-1007H16.1,0.0127087128800387,0.262396298783779
AC137932.5,0.0155999047065,0.286414328234671
AC092159.1,0.0127632320504778,0.26239808656228897
IFNE,0.0127632320504778,0.26239808656228897
GABRA1,0.0127632320504778,0.26239808656228897
TAS2R43,0.0177346463851624,0.305044282665481
AC019117.1,0.0153877986037309,0.28641165592219897
OR4D1,0.0127632320504778,0.26239808656228897
RP11-768G7.2,0.0128294386904621,0.262396134636857
RP11-775C24.3,0.0437671783801396,0.43617644353001706
GKN1,0.012796335616973001,0.262397116717598
TEX28,0.0132514700238609,0.266884952781942
RP11-143K11.7,0.0331589015249799,0.39454707961164703
MLNR,0.0127418163947535,0.26239532895875195
RP11-177B4.2,0.0127632320504778,0.26239808656228897
TAL2,0.015281817564977,0.286410922657242
NHS-AS1,0.0127632320504778,0.26239808656228897
RP3-486I3.5,0.0255466063617196,0.35451909150236705
RP11-230G5.2,0.0133425450559035,0.266887466822535
RP11-21A7A.3,0.0611492809771571,0.48257402936505495
KRT39,0.0127632320504778,0.26239808656228897
ABCA13,0.0154938185934407,0.286412714268519
RP11-627G18.1,0.0127632320504778,0.26239808656228897
TIMD4,0.0289888429611072,0.37285634710118704
RNF151,0.0127632320504778,0.26239808656228897
RP11-91P24.7,0.0255470902334619,0.3545219369851261
